timestamp,user,src_ip,action,host
2025-06-03 23:22:03,root,60.71.249.219,success,web01
2025-06-02 10:37:24,root,196.24.212.179,success,db01
2025-06-01 13:11:29,admin,28.206.85.208,success,server01
2025-06-03 20:57:57,admin,28.206.85.208,failure,server02
2025-06-02 12:35:06,alice,101.45.63.238,success,auth01
2025-06-02 01:54:56,bob,109.154.8.198,failure,db01
2025-06-02 15:19:20,svc_account,10.32.62.198,success,web01
2025-06-03 06:24:14,eve,101.45.63.238,success,web01
2025-06-01 17:59:02,john,65.140.12.225,success,auth01
2025-06-03 03:26:41,admin,196.24.212.179,success,server01
2025-06-01 09:13:54,john,154.38.97.14,success,db01
2025-06-01 07:30:07,root,119.132.154.252,failure,db01
2025-06-02 04:05:20,alice,43.56.244.146,success,web01
2025-06-03 19:49:16,root,21.159.195.90,success,db01
2025-06-01 12:45:11,root,21.78.151.69,success,server01
2025-06-02 08:36:24,john,221.177.82.55,success,web01
2025-06-01 15:07:11,admin,176.215.154.253,failure,server02
2025-06-02 00:55:23,svc_account,195.227.245.217,success,server01
2025-06-02 15:56:32,svc_account,140.233.126.59,success,web01
2025-06-03 16:35:50,svc_account,60.71.249.219,success,db01
2025-06-01 07:15:59,root,21.78.151.69,success,server02
2025-06-03 11:45:07,svc_account,140.233.126.59,failure,server01
2025-06-01 15:21:09,bob,43.56.244.146,success,db01
2025-06-02 13:56:36,admin,101.45.63.238,success,server01
2025-06-01 19:39:14,admin,43.56.244.146,failure,server02
2025-06-02 13:08:02,bob,60.71.249.219,success,db01
2025-06-01 05:54:01,svc_account,65.173.226.147,success,db01
2025-06-01 03:55:49,alice,108.155.84.64,success,db01
2025-06-03 09:17:57,john,71.31.134.133,success,web01
2025-06-03 13:17:52,svc_account,156.193.247.76,success,server02
2025-06-03 11:35:03,john,218.229.106.87,success,server01
2025-06-01 01:43:35,john,140.181.197.20,success,web01
2025-06-01 16:04:49,alice,65.140.12.225,failure,web01
2025-06-03 06:52:00,john,141.1.172.215,success,server02
2025-06-02 17:49:55,alice,73.8.92.229,success,server02
2025-06-03 00:39:31,admin,63.232.156.53,success,db01
2025-06-01 05:45:21,john,103.86.96.100,failure,auth01
2025-06-03 02:22:58,admin,21.78.151.69,success,server02
2025-06-02 07:04:45,root,73.8.92.229,success,server02
2025-06-01 16:06:27,john,101.45.63.238,success,web01
2025-06-03 14:27:47,bob,132.144.78.138,success,server02
2025-06-01 07:34:36,alice,214.67.156.114,success,web01
2025-06-03 05:53:22,svc_account,25.113.254.164,success,auth01
2025-06-03 21:13:20,eve,71.31.134.133,success,db01
2025-06-02 20:33:02,root,140.181.197.20,success,web01
2025-06-03 09:05:24,admin,96.156.46.218,failure,db01
2025-06-02 08:42:43,alice,105.37.77.227,success,auth01
2025-06-02 18:23:11,john,21.159.195.90,success,web01
2025-06-03 11:35:22,admin,25.113.254.164,failure,server02
2025-06-02 06:15:43,admin,158.8.216.3,success,db01
2025-06-03 16:19:05,bob,63.232.156.53,success,db01
2025-06-02 13:24:38,svc_account,96.156.46.218,success,db01
2025-06-03 19:22:20,root,25.113.254.164,success,server02
2025-06-01 22:58:21,bob,195.227.245.217,success,web01
2025-06-03 04:10:03,svc_account,60.187.103.193,success,auth01
2025-06-02 20:54:51,root,28.206.85.208,success,auth01
2025-06-01 08:31:17,bob,124.63.57.48,success,auth01
2025-06-02 22:26:21,root,141.1.172.215,success,server01
2025-06-01 17:50:18,root,10.32.62.198,failure,server01
2025-06-01 03:58:45,svc_account,43.56.244.146,success,web01
2025-06-02 12:36:03,alice,63.224.161.43,success,auth01
2025-06-02 02:37:39,john,71.31.134.133,success,db01
2025-06-03 09:32:27,john,95.145.171.108,success,server02
2025-06-02 20:31:58,eve,101.45.63.238,success,web01
2025-06-02 08:36:13,svc_account,48.204.31.144,failure,db01
2025-06-03 07:57:11,svc_account,10.32.62.198,failure,auth01
